student id,lab,student output,teacher output,result,subject
671-1,lab2,"Enter a character: 
Enter two integers: 
Enter a floating-point number: 
Enter a string: 
You entered character: M
You entered integers: 89 and 54
You entered floating-point number: 196.24
You entered string: Thailand","Enter a character: 
Enter two integers: 
Enter a floating-point number: 
Enter a string: 
You entered character: M
You entered integers: 89 and 54
You entered floating-point number: 196.24
You entered string: Thailand",1,ENGCC304
672-2,lab2,-1059580506,"Enter a character: 
Enter two integers: 
Enter a floating-point number: 
Enter a string: 
You entered character: M
You entered integers: 89 and 54
You entered floating-point number: 196.24
You entered string: Thailand",0,ENGCC304
