student id,lab,student output,teacher output,result,subject
671-1,lab5,Enter score: D+ !,Enter score: D+ !,1,ENGCC304
67543206110-8,lab5,Enter score: D+ !,Enter score: D+ !,1,ENGCC304
67543206113-2,lab5,โปรแกรมรันเกินเวลาที่กำหนด (5 วินาที),N/A,0,ENGCC304
